,Location,Forecast_Date,Air_Pollutants,Rating
0,"Metropolitan Washington, DC",2020-07-18 ,O3,Moderate
1,"Metropolitan Washington, DC",2020-07-18 ,PM2.5,Good
2,"Metropolitan Washington, DC",2020-07-19 ,O3,Moderate
3,"Metropolitan Washington, DC",2020-07-19 ,PM2.5,Moderate
