,Location,Date,Air_Pollutants,AQI,Rating
0,"Metropolitan Washington, DC",2020-07-17 ,O3,44,Good
1,"Metropolitan Washington, DC",2020-07-17 ,PM2.5,59,Moderate
2,"Metropolitan Washington, DC",2020-07-17 ,PM10,18,Good
